run,radius,high_beta_count,slope_phi_energy_per_beta,slope_ci95_low,slope_ci95_high,slope_significant
30_dataset,0.89,6,0.0012868449489597871,-0.000152159289254058,0.0027258491871736323,no
30_dataset,0.9,6,0.0012851541827870203,-0.0001449234790593056,0.002715231844633346,no
30_dataset,0.91,6,0.0012865449574332886,-0.00015847587363181266,0.00273156578849839,no
30_dataset,0.92,6,0.001279675608459109,-0.00016720239984057013,0.0027265536167587878,no
30_dataset,0.93,6,0.00127383634399277,-0.00017247587967250547,0.0027201485676580455,no
30_dataset,0.94,6,0.0012684625338638938,-0.0001760485251293307,0.002712973592857118,no
30_dataset,0.95,6,0.0012697641039386136,-0.00018704077453588625,0.0027265689824131135,no
30_dataset,0.96,6,0.001255138031544609,-0.0001834769134413934,0.0026937529765306114,no
30_dataset,0.97,6,0.0012483838041657668,-0.0001934715554090746,0.0026902391637406084,no
30_dataset,0.98,6,0.0012444895909455524,-0.00021552177986722178,0.0027045009617583265,no
30_dataset,0.99,6,0.001254918675795643,-0.00017830906951461344,0.0026881464211058995,no
30_dataset,1.0,6,0.0012378105110707625,-0.0002263443077213541,0.002701965329862879,no
30_dataset,1.01,6,0.0012383099628893428,-0.00021307226855437678,0.0026896921943330623,no
30_dataset,1.02,6,0.001235638339642577,-0.00023738469732639323,0.002708661376611547,no
30_dataset,1.03,6,0.0012396753217097693,-0.0002349921671430913,0.00271434281056263,no
30_dataset,1.04,6,0.0012326438948902323,-0.00023903723733617013,0.002704325027116635,no
30_dataset,1.05,6,0.0012433286104317962,-0.00023096159869709885,0.0027176188195606912,no
30_dataset,1.06,6,0.0012338521914990305,-0.00021922989948982142,0.0026869342824878822,no
30_dataset,1.07,6,0.0012357635774233073,-0.00023383453343724363,0.002705361688283858,no
30_dataset,1.08,6,0.001242329107141927,-0.00022026124029568116,0.002704919454579535,no
30_dataset,1.09,6,0.0012340814322312186,-0.00024104990314429147,0.002709212767606729,no
