radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
1.45,90,-0.001587033187864878,9.889044134259543e-05,30.0,30,30,1.0423967782062701e-05,-0.0016074641647177209,-0.0015666022110120352
1.46,90,-0.0015828696004095853,9.409020655863775e-05,30.0,30,30,9.917978608033616e-06,-0.0016023088384813312,-0.0015634303623378394
1.47,90,-0.0015761439258015948,9.472728061580402e-05,30.0,30,30,9.985132109995273e-06,-0.0015957147847371856,-0.001556573066866004
1.48,90,-0.0015718011231593823,9.165373643725835e-05,30.0,30,30,9.661152106883422e-06,-0.0015907369812888739,-0.0015528652650298907
1.49,90,-0.001571163487032763,9.159397933850724e-05,30.0,30,30,9.654853155602852e-06,-0.0015900869992177447,-0.0015522399748477815
1.5,90,-0.001565635521494736,9.012378853018543e-05,30.0,30,30,9.499881437291488e-06,-0.0015842552891118273,-0.0015470157538776447
1.51,90,-0.0015599924038487568,8.894955042607725e-05,30.0,30,30,9.376105873146828e-06,-0.0015783695713601246,-0.001541615236337389
1.52,90,-0.0015567420029696834,8.491136789649306e-05,30.0,30,30,8.950444059780616e-06,-0.0015742848733268533,-0.0015391991326125134
1.53,90,-0.0015549852180792025,8.68519220674259e-05,30.0,30,30,9.154996429883533e-06,-0.0015729290110817742,-0.0015370414250766309
1.54,90,-0.0015499794872273138,8.243077254832496e-05,30.0,30,30,8.688966351332964e-06,-0.0015670098612759263,-0.0015329491131787013
1.55,90,-0.0015453797431854682,8.348397278098557e-05,30.0,30,30,8.799983403580524e-06,-0.001562627710656486,-0.0015281317757144504
1.56,90,-0.0015451965974566265,8.235956616283884e-05,30.0,30,30,8.681460539263494e-06,-0.001562212260113583,-0.00152818093479967
1.57,90,-0.0015387846966295354,8.366061959155452e-05,30.0,30,30,8.818603612340596e-06,-0.0015560691597097229,-0.001521500233549348
1.58,90,-0.0015358732481232631,7.771570831251274e-05,30.0,30,30,8.191954941360701e-06,-0.00155192947980833,-0.0015198170164381962
1.59,90,-0.0015316440592890988,7.805324798416045e-05,30.0,30,30,8.227534746796439e-06,-0.0015477700273928197,-0.0015155180911853778
1.6,90,-0.001530602218751381,7.772996399142747e-05,30.0,30,30,8.193457621859455e-06,-0.0015466613956902255,-0.0015145430418125364
1.61,90,-0.0015289657598591257,7.362356751860806e-05,30.0,30,30,7.760605427533085e-06,-0.0015441765464970906,-0.0015137549732211607
1.62,90,-0.001525123842046429,7.385217458209475e-05,30.0,30,30,7.784702727860442e-06,-0.0015403818593930356,-0.0015098658246998225
1.63,90,-0.001522501684579555,7.472426017461196e-05,30.0,30,30,7.876628620759503e-06,-0.0015379398766762436,-0.0015070634924828664
1.64,90,-0.0015204526300992862,7.104836445825233e-05,30.0,30,30,7.4891551905944135e-06,-0.0015351313742728511,-0.0015057738859257212
1.65,90,-0.0015147859139150377,6.976401775641056e-05,30.0,30,30,7.353773161156242e-06,-0.001529199309310904,-0.0015003725185191714
1.66,90,-0.001515136528525453,6.986333757233233e-05,30.0,30,30,7.364242388992957e-06,-0.0015295704436078792,-0.0015007026134430269
1.67,90,-0.0015141038185757017,7.061542059978687e-05,30.0,30,30,7.443518900869999e-06,-0.001528693115621407,-0.0014995145215299965
1.68,90,-0.0015090016334441357,6.614597984454128e-05,30.0,30,30,6.972398479078026e-06,-0.0015226675344631286,-0.0014953357324251429
1.69,90,-0.0015082694675587725,6.70774853077794e-05,30.0,30,30,7.0705877763021166e-06,-0.0015221278196003247,-0.0014944111155172203
1.7,90,-0.0015079625937880897,6.587218162905038e-05,30.0,30,30,6.943537613069998e-06,-0.0015215719275097068,-0.0014943532600664726
1.71,90,-0.0015052438445745707,6.511724466871355e-05,30.0,30,30,6.863960270253045e-06,-0.0015186972067042666,-0.0014917904824448748
1.72,90,-0.0015021545225173537,6.180530846199917e-05,30.0,30,30,6.514851540973189e-06,-0.0015149236315376612,-0.0014893854134970463
1.73,90,-0.001501542859303401,6.227759472975652e-05,30.0,30,30,6.564634884764301e-06,-0.0015144095436775392,-0.0014886761749292629
1.74,90,-0.001501764716266038,6.262550107604397e-05,30.0,30,30,6.601307433654155e-06,-0.0015147032788360001,-0.001488826153696076
1.75,90,-0.0014984148938346406,5.941209164311967e-05,30.0,30,30,6.26258433823046e-06,-0.0015106895591375724,-0.001486140228531709
1.76,90,-0.0014960217326101344,5.913359382279892e-05,30.0,30,30,6.23322809037693e-06,-0.0015082388596672732,-0.0014838046055529956
