source,case_id,case_label,eta,nmstv,ref_key,n_radii,d_min,d_max,A_kappa,min_dphi_dr,min_dphi_dr_radius,max_curvature,max_curvature_radius
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:28,100,0.01,1.0,1.3459672323281422,-0.47982010042908896,0.18,8.704792531441866,0.98
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:29,100,0.01,1.0,1.299829975295785,-0.48194786739578926,0.19,6.488281996090191,0.31
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:3,100,0.01,1.0,1.2136139131172854,-0.44556285783104077,0.18,5.658464352542181,0.23
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:4,100,0.01,1.0,1.0434277573836417,-0.65587825340169,1.0,7.864133738581161,0.39
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:5,100,0.01,1.0,1.230926147873234,-0.45482270459806906,0.21,9.154883269461575,0.35
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:6,100,0.01,1.0,1.2276963090695863,-0.48969971922671585,0.18,10.285418769910677,0.34
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:7,100,0.01,1.0,1.3395250694749141,-0.4557753633070202,0.17,11.25089679562836,0.32
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:8,100,0.01,1.0,1.1834755319552024,-0.4530304468397368,0.18,8.020184145018067,0.24
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:9,100,0.01,1.0,1.282415525690858,-0.4380052489607291,0.16,8.816477690637234,0.37
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:0,100,0.01,1.0,1.3630280459917539,-0.6207959259001835,0.19,15.154123848274423,0.29
