source,case_id,case_label,eta,nmstv,radius,ref_count,phi_mean,phi_sd,phi_sem,split_mean,split_max,ess_fraction_mean
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.98,30,-0.08346061226197146,0.00338535678704013,0.0006180787591550308,0.004069212897414436,0.014593079800656,0.7840127306221982
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.99,30,-0.08345023398439788,0.0030348222755891634,0.0005540802061197816,0.0033205875233490636,0.0093921646340266,0.7957621685982516
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,1.0,30,-0.08439921230955205,0.003915848744417284,0.0007149328963652096,0.0038815500670923934,0.0098866374842343,0.809807467626933
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.01,30,-0.0005903433385683833,0.0004902516898646143,8.950730313129201e-05,6.693820974971315e-07,2.4433404466360438e-06,0.998575627327318
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.02,30,-0.0006450298377168,0.0005251105683652555,9.587163449266971e-05,2.0913391358240423e-06,8.219726089212115e-06,0.9893912344942426
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.03,30,-0.0007636605866739533,0.0005877271926976864,0.00010730381369990281,4.473103261109616e-06,2.051456915241921e-05,0.9482462212372753
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.04,30,-0.00099041731887713,0.0006747348386521125,0.0001231891638214569,9.624587833631016e-06,2.690783868947471e-05,0.8259394787709751
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.05,30,-0.0013799763128709967,0.0007846796012747869,0.0001432622393441201,1.9824439606257723e-05,5.316066362286966e-05,0.6938759729950139
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.06,30,-0.0019516136144985233,0.0009046176602929955,0.0001651598328200064,3.079073221088602e-05,8.977760235399283e-05,0.8553620664813191
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.07,30,-0.0027318725974335998,0.0010202089269623904,0.0001862638142218139,5.55931765049032e-05,0.000164356221745,0.7546239473050865
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.08,30,-0.00369751139274696,0.0011374844855055026,0.00020767530384117397,8.313872783964858e-05,0.0002265067842958,0.8198479332750618
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.09,30,-0.004875289041350394,0.0012525532067965224,0.00022868388194596283,0.00014757709376139223,0.0003809421944673,0.8181622248223974
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.1,30,-0.006211779797997157,0.0014233628208412529,0.0002598693081629796,0.0001909169085527633,0.0006642145513587,0.7868992443184548
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.11,30,-0.007732193378732307,0.0015978529615767929,0.00029172670354401495,0.00034764701644067475,0.001692318968466,0.8188830616999262
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.12,30,-0.009376116398359197,0.0016300471197563603,0.0002976045257622944,0.0005357402495451652,0.0019541893834995,0.791968351205061
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.13,30,-0.011055923168955727,0.0018416060079903868,0.00033622971753779135,0.0005964434056701172,0.001471206776476,0.8348317186196278
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.14,30,-0.012991945583969067,0.0019205623216284257,0.0003506451022167935,0.0008301137893312088,0.0023385065117072,0.8456658717942606
