eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.25,2461,0.1,0.0010049247808815,0.00100492
0.25,2461,0.1,0.0004212594706733,0.000421259
0.25,2461,0.1,0.0003806933426899,-0.000380693
0.25,2461,0.1,0.0024739294072768,-0.00247393
0.25,2461,0.1,0.0019649361005941,0.00196494
0.25,2461,0.1,0.0008083758777049,0.000808376
0.25,2461,0.1,0.0010913563901172,0.00109136
0.25,2461,0.15,0.0047562067210967,-0.00475621
0.25,2461,0.15,0.0040283244720719,0.00402832
0.25,2461,0.15,0.0014751259303518,0.00147513
0.25,2461,0.15,0.0016188375009987,-0.00161884
0.25,2461,0.15,0.0051294390073291,0.00512944
0.25,2461,0.15,0.0016118429988294,-0.00161184
0.25,2461,0.15,0.0014115577096925,0.00141156
0.25,2461,0.15,0.0021196654819916,-0.00211967
0.25,2461,0.15,0.0008731656081444,-0.000873166
0.25,2461,0.15,0.002083241865798,-0.00208324
0.25,2461,0.15,0.0027136661125587,0.00271367
0.25,2461,0.15,0.0065596361622875,0.00655964
0.25,2461,0.15,0.0049037959824048,0.0049038
0.25,2461,0.15,0.0034591338665866,-0.00345913
0.25,2461,0.15,0.001367916551285,0.00136792
0.25,2461,0.15,0.0003057359703787,-0.000305736
0.25,2461,0.15,0.0005838512284802,-0.000583851
0.25,2461,0.15,0.0029034752879254,-0.00290348
0.25,2461,0.15,0.0015669110603767,-0.00156691
0.25,2461,0.15,0.0056970164267901,-0.00569702
0.25,2461,0.15,0.0023358419929201,0.00233584
0.25,2461,0.15,0.0066393163358956,-0.00663932
0.25,2461,0.15,0.0056363144523426,-0.00563631
0.25,2461,0.15,0.0048891909630201,0.00488919
0.25,2461,0.15,0.0040400220622178,-0.00404002
0.25,2461,0.15,0.005157922657768,0.00515792
0.25,2461,0.15,0.0008722945852747,0.000872295
0.25,2461,0.15,0.0010577939434843,-0.00105779
0.25,2461,0.15,0.0021292506979098,-0.00212925
0.25,2461,0.15,0.0002608082675847,-0.000260808
0.25,2461,0.2,0.0032061309044651,0.00320613
0.25,2461,0.2,0.009519934540971,0.00951993
0.25,2461,0.2,0.0006328008499717,-0.000632801
0.25,2461,0.2,0.0028983495379267,0.00289835
0.25,2461,0.2,0.0136593612709676,0.0136594
0.25,2461,0.2,0.0077909876880607,-0.00779099
0.25,2461,0.2,0.0011055149618123,-0.00110551
0.25,2461,0.2,0.0042781267843113,0.00427813
0.25,2461,0.2,0.004938508508273,0.00493851
0.25,2461,0.2,0.002440527496953,-0.00244053
0.25,2461,0.2,0.0094699587285643,-0.00946996
0.25,2461,0.2,0.0056133097161084,0.00561331
0.25,2461,0.2,0.0085505790788081,0.00855058
0.25,2461,0.2,0.0074331263115923,0.00743313
0.25,2461,0.2,0.0006305240480809,-0.000630524
0.25,2461,0.2,0.0070348660636441,0.00703487
0.25,2461,0.2,0.0082788944535835,-0.00827889
0.25,2461,0.2,0.0036653411474333,-0.00366534
0.25,2461,0.2,0.0068068095524306,0.00680681
0.25,2461,0.2,0.0010627775124647,0.00106278
0.25,2461,0.2,0.0020859361560227,-0.00208594
0.25,2461,0.2,0.0047457195860124,0.00474572
0.25,2461,0.2,0.0038196505835566,-0.00381965
0.25,2461,0.2,0.0005787927913973,-0.000578793
0.25,2461,0.2,0.002310229682283,-0.00231023
0.25,2461,0.2,0.002154903981126,0.0021549
0.25,2461,0.2,0.00623965401148,0.00623965
0.25,2461,0.2,0.0020714907248459,0.00207149
0.25,2461,0.2,0.0056994391247182,-0.00569944
0.25,2461,0.2,0.0006230274897814,-0.000623027
0.25,2461,0.25,0.0055003466614668,0.00550035
0.25,2461,0.25,0.0131577092315904,0.0131577
0.25,2461,0.25,0.0017953166950423,-0.00179532
0.25,2461,0.25,0.0022856485844779,0.00228565
0.25,2461,0.25,0.0023907147286318,0.00239071
0.25,2461,0.25,0.0014975554997631,0.00149756
0.25,2461,0.25,0.0161747568512831,0.0161748
0.25,2461,0.25,0.0015248224187941,-0.00152482
0.25,2461,0.25,0.0005055332777418,-0.000505533
0.25,2461,0.25,0.0037841027144617,0.0037841
0.25,2461,0.25,0.0013882960745612,0.0013883
0.25,2461,0.25,0.0036448606094006,0.00364486
0.25,2461,0.25,0.0001529924359043,-0.000152992
0.25,2461,0.25,0.0086952016337547,-0.0086952
0.25,2461,0.25,0.0141308617242103,0.0141309
0.25,2461,0.25,0.0071385060132404,-0.00713851
0.25,2461,0.25,0.0124907596698696,-0.0124908
0.25,2461,0.25,0.0025449377457527,0.00254494
0.25,2461,0.25,0.0023255642716192,-0.00232556
0.25,2461,0.25,0.0007274075450278,-0.000727408
0.25,2461,0.25,0.0021703985709452,-0.0021704
0.25,2461,0.25,0.0074565772071021,0.00745658
0.25,2461,0.25,0.005447658377215,0.00544766
0.25,2461,0.25,0.0118087466614704,-0.0118087
0.25,2461,0.25,0.001543752162309,0.00154375
0.25,2461,0.25,0.0024673206322515,0.00246732
0.25,2461,0.25,0.0073881559101801,0.00738816
0.25,2461,0.25,0.0099040031267211,-0.009904
0.25,2461,0.25,0.0153548932332493,-0.0153549
0.25,2461,0.25,0.0093690214411578,0.00936902
0.25,2461,0.3,0.0070891561518045,-0.00708916
0.25,2461,0.3,0.008569269891863,0.00856927
0.25,2461,0.3,0.0059825978187004,-0.0059826
0.25,2461,0.3,0.004649787356724,0.00464979
0.25,2461,0.3,0.0038340704070265,-0.00383407
0.25,2461,0.3,0.0004471966233128,0.000447197
0.25,2461,0.3,0.0065090438782051,0.00650904
0.25,2461,0.3,0.0006144159484227,-0.000614416
0.25,2461,0.3,0.0077109796356657,-0.00771098
0.25,2461,0.3,0.0079520515514891,-0.00795205
0.25,2461,0.3,0.0065778098070304,-0.00657781
0.25,2461,0.3,0.0087961513889982,-0.00879615
0.25,2461,0.3,0.0099405884132419,0.00994059
0.25,2461,0.3,0.0020007304344163,0.00200073
0.25,2461,0.3,0.0005028368885248,0.000502837
0.25,2461,0.3,0.0015102910790252,-0.00151029
0.25,2461,0.3,0.0033410682669898,-0.00334107
0.25,2461,0.3,0.0043385950154575,0.0043386
0.25,2461,0.3,0.0004917312482544,-0.000491731
0.25,2461,0.3,0.0088284841692353,-0.00882848
0.25,2461,0.3,0.0037193543336483,0.00371935
0.25,2461,0.3,0.0028312034074128,-0.0028312
0.25,2461,0.3,0.0067820619623301,-0.00678206
0.25,2461,0.3,0.0048955108000899,-0.00489551
0.25,2461,0.3,0.0041336930476878,-0.00413369
0.25,2461,0.3,0.0095676901816945,-0.00956769
0.25,2461,0.3,0.0024937076596987,0.00249371
0.25,2461,0.3,0.0104696695496521,-0.0104697
0.25,2461,0.3,0.0022796484798732,0.00227965
0.25,2461,0.3,0.0033701964841909,0.0033702
0.25,2461,0.35,0.0114785593041922,-0.0114786
0.25,2461,0.35,0.000952046942585,-0.000952047
0.25,2461,0.35,0.0077370208250072,-0.00773702
0.25,2461,0.35,0.0044588419383799,0.00445884
0.25,2461,0.35,0.0004454260446489,0.000445426
0.25,2461,0.35,0.0106117789895605,0.0106118
0.25,2461,0.35,0.0018924305776759,0.00189243
0.25,2461,0.35,0.009037354342485,-0.00903735
0.25,2461,0.35,0.0002501167311581,-0.000250117
0.25,2461,0.35,0.0085880274959196,-0.00858803
0.25,2461,0.35,0.0052523495542215,-0.00525235
0.25,2461,0.35,0.0125343863736986,-0.0125344
0.25,2461,0.35,0.0039145272585211,0.00391453
0.25,2461,0.35,0.0069464880883672,0.00694649
0.25,2461,0.35,0.000346921025988,0.000346921
0.25,2461,0.35,0.0046280398531263,0.00462804
0.25,2461,0.35,0.0083342048691177,-0.0083342
0.25,2461,0.35,0.0052904216231404,0.00529042
0.25,2461,0.35,0.0142731359812549,0.0142731
0.25,2461,0.35,0.0070333409343464,-0.00703334
0.25,2461,0.35,0.0045256577300056,-0.00452566
0.25,2461,0.35,0.0034114784148212,-0.00341148
0.25,2461,0.35,0.0010950563719948,-0.00109506
0.25,2461,0.35,0.0075543085201679,0.00755431
0.25,2461,0.35,0.0039627799582897,0.00396278
0.25,2461,0.35,0.0048285991644926,-0.0048286
0.25,2461,0.35,0.0056602879142163,-0.00566029
0.25,2461,0.35,0.012438466087754,-0.0124385
0.25,2461,0.35,0.0002421296555753,0.00024213
0.25,2461,0.35,0.0008173314043773,0.000817331
0.25,2461,0.4,0.0076576774602314,0.00765768
0.25,2461,0.4,0.0051469028962931,0.0051469
0.25,2461,0.4,0.0065784967742945,0.0065785
0.25,2461,0.4,0.0078876445573676,-0.00788764
0.25,2461,0.4,0.000817206676481,0.000817207
0.25,2461,0.4,0.0055744184599759,0.00557442
0.25,2461,0.4,0.0048804317483607,-0.00488043
