rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem
random_label,0.14,30,30,complete,False,-0.6771757803416927,-1.6513373153235733,-0.6771757803416922,-1.6513373153235804,6.474959029817917,-53.17860927665009,-0.6437359690027249,0.013437006263491652
random_label,0.15,30,30,complete,False,-0.6764078713764259,-1.135049868617557,-0.6764078713764259,-1.135049868617557,5.9974488099792325,-45.961079621971066,-0.6503731952506588,0.011730781427283331
random_label,0.16,30,30,complete,False,-0.699876777714044,-2.888097914702655,-0.6998767777140436,-2.8880979147026125,5.555737437378497,-42.242992410458555,-0.6738740825192262,0.011941741003106916
random_label,0.17,30,30,complete,False,-0.7341698296704791,-3.060148224958546,-0.7341698296704782,-3.060148224958617,5.152588961770061,-37.889759455863555,-0.6654208461760975,0.01316271838236705
random_label,0.18,30,30,complete,False,-0.761079742213215,3.0368984648055957,-0.7610797422132158,3.0368984648055743,4.797942248261226,-28.00678214922391,-0.6526153206657319,0.011850147568550786
random_label,0.19,30,30,complete,False,-0.6734318603743668,8.53006137295095,-0.6734318603743663,8.53006137295106,4.592453318785584,-19.314061261115768,-0.6339794334617118,0.011142234466598016
random_label,0.2,30,30,complete,False,-0.5904785147541958,1.5757191834555186,-0.5904785147541944,1.5757191834554547,4.41166102303891,-23.539910844596108,-0.629443778120312,0.008505405368686778
random_label,0.21,30,30,complete,False,-0.641917476705256,0.875512724116529,-0.6419174767052569,0.8755127241164402,4.121655101893662,-21.894432078899627,-0.5884673844040474,0.009778727458126857
random_label,0.22,30,30,complete,False,-0.5729682602718649,6.789101514622146,-0.5729682602718653,6.789101514622168,3.9737723814609183,-13.949475206374188,-0.5660379075556926,0.010398815688942943
random_label,0.23,30,30,complete,False,-0.5061354464128129,-5.134714685969925,-0.5061354464128134,-5.134714685969769,3.842665597766178,-24.10242740033516,-0.5256686859629939,0.007473938166772501
random_label,0.24,30,30,complete,False,-0.6756625539912626,-2.7536761277400217,-0.67566255399126,-2.753676127739908,3.491723833454216,-20.168270314646435,-0.5012684813516883,0.008460634577205053
random_label,0.25,30,30,complete,False,-0.5612089689676125,17.373380232006348,-0.5612089689676107,17.37338023200608,3.439300191473251,1.3284830406298909,-0.4549210393914153,0.010711699420891185
random_label,0.26,30,30,complete,False,-0.32819494935113536,8.25667223715957,-0.328194949351138,8.256672237159304,3.518293494266814,-6.574137777817754,-0.42792643434525196,0.009675390314058164
random_label,0.27,30,30,complete,False,-0.39607552422442094,-3.2143389130335933,-0.3960755242244245,-3.2143389130334192,3.3078174359168955,-16.963942528229126,-0.3987552842691963,0.00984807073435019
random_label,0.28,30,30,complete,False,-0.39248172761180733,2.4827784969981757,-0.39248172761180644,2.482778496998396,3.1790146437022315,-10.299777009153019,-0.3455761517799436,0.00824979014175287
random_label,0.29,30,30,complete,False,-0.3464199542844577,3.954427178958813,-0.3464199542844568,3.9544271789587224,3.101821895733835,-7.9597033872165355,-0.3137949487149664,0.00969660483754972
random_label,0.3,30,30,complete,False,-0.3133931840326314,6.358925645936068,-0.3133931840326323,6.35892564593607,3.019820575957901,-4.772425288109616,-0.2840289595117005,0.009944837272582682
