beta,radius,sample_row_count,ref_count,dataset_count,claim,acceptance
0.09,1.14,1800,1800,60,pass,pass
0.09,1.15,1800,1800,60,pass,pass
0.09,1.16,1800,1800,60,pass,pass
0.09,1.17,1800,1800,60,pass,pass
0.09,1.18,1800,1800,60,pass,pass
0.09,1.19,1800,1800,60,pass,pass
0.09,1.2,1800,1800,60,pass,pass
0.09,1.21,1800,1800,60,pass,pass
0.09,1.22,1800,1800,60,pass,pass
0.09,1.23,1800,1800,60,pass,pass
0.09,1.24,1800,1800,60,pass,pass
0.09,1.25,1800,1800,60,pass,pass
0.09,1.26,1800,1800,60,pass,pass
0.09,1.27,1800,1800,60,pass,pass
