rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.82,30,-0.04397938868684399,0.00032952566722450026,-0.04846160718387694,0.00031227176498863166
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.83,30,-0.045674522227082376,0.0004419182591042515,-0.05015674072411532,0.00048632686131049507
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.84,30,-0.045622080447463506,0.00044434380538361926,-0.050104298944496445,0.00048549143770844816
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.85,30,-0.045207075181352446,0.0005288269922673754,-0.049689293678385385,0.0006075552789435636
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.86,30,-0.046035435196542074,0.0005207433069443102,-0.05051765369357501,0.0005481832654329876
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.87,30,-0.04691077098663566,0.0003954132672718745,-0.051392989483668584,0.00044452877026715515
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.88,30,-0.047645698332171624,0.0005047836125964429,-0.052127916829204576,0.0005240891735188615
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.89,30,-0.04776708387538365,0.0004889590465978307,-0.05224930237241659,0.0005218998642552549
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.9,30,-0.04828413693093535,0.0004842859274539428,-0.0527663554279683,0.0004966445981455847
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.91,30,-0.04829734116773786,0.0004368037425175797,-0.05277955966477079,0.0004801963202425747
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.92,30,-0.04940539760277967,0.00041262679338661804,-0.053887616099812616,0.0004617991615971651
