policy,cell_id,beta,dataset_tag,exact_count,selected_count,l2_mass_coverage_lambda1,mean_norm_sq,mean_theta_norm,mean_final_train_loss,mean_min_signed_margin,mean_pairwise_norm_distance
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_008_seed_814234,54,10,0.09347433144275352,14715.529684662266,119.26747975755589,0.002561939070880357,0.09756299050389297,1.4262824095288684
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_009_seed_914234,42,10,0.38767612686314684,5795.934904464612,76.11388831125478,0.016047852160116876,0.01597870598023201,1.4132276176806475
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_009_seed_914234,42,10,0.09349654360185097,14918.995344967896,120.49708056399984,0.002788154477286118,0.08655890177803868,1.4241502739952738
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_000_seed_018234,64,10,0.27699059909427226,3278.0543446804904,57.22188087531214,0.014471136579815436,0.0036918534301175103,1.4128331667102563
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_000_seed_018234,64,10,0.07745002941079644,12207.104805123308,107.53780060087334,0.0022901717703782422,0.11791114182972799,1.435837371178322
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_001_seed_118234,56,10,0.2714603993084208,3507.541307399532,59.2058205778319,0.008531043994335758,0.10256228300951298,1.414440473560376
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_001_seed_118234,56,10,0.08860501112813635,11074.62519023511,102.63633900914522,0.0026043223283863616,0.047885166426531754,1.4389883788247926
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_002_seed_218234,47,10,0.4654214701861006,5186.455316670717,71.8625168504598,0.0038072105496777158,0.07837195293819621,1.4164138356783864
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_002_seed_218234,47,10,0.18476393618861678,11440.569176693662,104.91393401239861,0.0024117989401571628,0.09751981231628831,1.4282751838871406
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_003_seed_318234,59,10,0.2494957742507938,3142.6129620826805,56.048479969201686,0.009017624878245471,0.014882347980961927,1.4154616163973395
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_003_seed_318234,59,10,0.08141955377935435,11551.096256197387,103.29478665204094,0.0024621286728290642,0.15514897505748113,1.4432706838707534
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_004_seed_418234,49,10,0.37313617509273894,4140.195355885039,64.29503985282547,0.015914640013649263,0.024406266702666192,1.4132543904379251
