"r","N","phi_emp","weighted_CE","weighted_err","reference_count","mean_ess_frac","q05_ess_frac","max_split_logZ_per_N_diff","fallback_unit_count","fallback_unit_fraction","min_smc_cess_fraction","max_smc_step_count"
"2.15","40","1.4151783270871878","3.018985410585202","0.43980113748633637","100","0.4714215635825497","0.2605081015128659","0.0011082343864172728","22","0.22","0.8500000000000331","5.0"
"2.2","40","1.3660291287120958","3.0594649644125385","0.4447213235874659","100","0.5287304513300279","0.258260364684356","0.001955030966157878","31","0.31","0.8500000000000527","5.0"
"0.15","80","0.0","3.322046077931917","0.0441379529128106","100","0.9807820786144625","0.9736971848807681","0.0001808954090654291","0","0.0","nan","nan"
"0.2","80","0.28332261209432785","3.3465532300163203","0.05825149680259237","100","0.9664453644428725","0.9547009987109791","0.0002841248362904114","0","0.0","nan","nan"
"0.25","80","0.5025135869622549","3.377745247217017","0.07207114748912602","100","0.9487854465033045","0.9321654078117408","0.0003692187596619656","0","0.0","nan","nan"
"0.3","80","0.6808874696531256","3.414357206040501","0.08526854351455591","100","0.9278601853991857","0.9039978333702129","0.0004359681634723778","0","0.0","nan","nan"
"0.35","80","0.8308332125892867","3.454650160593766","0.09749859073078766","100","0.9043364189536979","0.8728098789443255","0.00042038103336788923","0","0.0","nan","nan"
"0.4","80","0.959653432026772","3.501026174020318","0.10940678520146331","100","0.8798710227445785","0.8441768778776684","0.0006244009702260466","0","0.0","nan","nan"
"0.45","80","1.0720164262659626","3.5530877000865284","0.12175653578774874","100","0.8519556577831512","0.8086318047283065","0.0005970225004133356","0","0.0","nan","nan"
"0.5","80","1.1711596345818283","3.6050577719647707","0.1335024989818035","100","0.8222111910755647","0.7737206518867757","0.0006746516765898825","0","0.0","nan","nan"
"0.55","80","1.259257725004697","3.6629467133081555","0.14560588052582427","100","0.7936811024559131","0.7344143255053278","0.0006803151390170958","0","0.0","nan","nan"
"0.6","80","1.3379763551034318","3.7201802684337846","0.15703561757818543","100","0.7622434877557588","0.6992912452136394","0.0008064963587931407","0","0.0","nan","nan"
"0.65","80","1.4084683959423192","3.7833777101404644","0.16888989482240366","100","0.7317551537370024","0.6649177047366943","0.0009087825350772239","0","0.0","nan","nan"
"0.7","80","1.471699222638376","3.8487807317169285","0.1809591593321478","100","0.7003599683532928","0.6348689877718793","0.0008723492124238952","0","0.0","nan","nan"
"0.75","80","1.528407733383684","3.9141858918986565","0.19291603268426574","100","0.6675216707523373","0.5933746535095806","0.0008504898132555728","0","0.0","nan","nan"
"0.8","80","1.5791489763609778","3.985405638426844","0.20514247922859932","100","0.6389294568749189","0.5738686762071646","0.001218538475720865","0","0.0","nan","nan"
"0.85","80","1.6244312627027828","4.050674264435217","0.21653525872869964","100","0.6038823935797918","0.5267579367358526","0.0017681649063881367","0","0.0","nan","nan"
"0.9","80","1.6645605182599872","4.125185188352378","0.229201408920692","100","0.574880619630712","0.4977185210975051","0.0016724706332811757","0","0.0","nan","nan"
"0.95","80","1.6999539991671717","4.19498395465696","0.24076785613408916","100","0.5445612573066654","0.4837982861018805","0.0013278346062833624","0","0.0","nan","nan"
"1.0","80","1.7307067878658007","4.272027664243705","0.252460740356385","100","0.5138061641381448","0.43151422971546155","0.0017365213588036222","0","0.0","nan","nan"
"1.05","80","1.7572002037523464","4.343556550086548","0.26339848960025675","100","0.4807537993144239","0.3943733087797647","0.0016371896681843356","0","0.0","nan","nan"
"1.1","80","1.77953487629381","4.4262763796600675","0.2760418526962672","100","0.45719120777976996","0.3831236603601452","0.0011998544433113878","0","0.0","nan","nan"
"1.15","80","1.7979700233573463","4.495315498058644","0.2858502524597164","100","0.42499010492771283","0.35867519103223056","0.0019929010631811296","0","0.0","nan","nan"
"1.2","80","1.8124700332502355","4.57802712528636","0.29728731759832827","100","0.3998793557472727","0.325901506391298","0.0017536340435278408","0","0.0","nan","nan"
"1.25","80","1.8233490694481032","4.654319090931633","0.3079113285429619","100","0.3729270452464326","0.29662140809199933","0.001671645643991182","0","0.0","nan","nan"
"1.3","80","1.8305657890636773","4.736927677472123","0.3183175873555125","100","0.3480786972475748","0.280591223082441","0.0021889382900040387","0","0.0","nan","nan"
"1.35","80","1.8343385443726652","4.812695220941814","0.3275269466810699","100","0.35958193028061136","0.26963364810572826","0.0023388279938322933","5","0.05","0.8500000000003403","4.0"
