beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.06,0.83,True,True,True,True,True,True,True,True,pass,100,100,97696.39466634726,25600.0,0.807768600497481,0.2,0.000140911603478201,0.004,0.00010603301480291483,0.012,0.75000000000015,0.6,4.0,120.0
0.06,0.84,True,True,True,True,True,True,True,True,pass,100,100,98108.11964122311,25600.0,0.8263364103573747,0.2,0.00011816117064480555,0.004,0.0001000239440322956,0.012,0.7500000000012838,0.6,4.0,120.0
0.06,0.85,True,True,True,True,True,True,True,True,pass,100,100,97998.11825464987,25600.0,0.8385958964487826,0.2,0.00012390163059668196,0.004,0.0001110631005484032,0.012,0.7500000000002486,0.6,4.0,120.0
0.06,0.86,True,True,True,True,True,True,True,True,pass,100,100,97929.72818683767,25600.0,0.8485830129040254,0.2,0.00014443092582065863,0.004,9.772659281445965e-05,0.012,0.750000000000156,0.6,4.0,120.0
0.06,0.87,True,True,True,True,True,True,True,True,pass,100,100,98029.08524194623,25600.0,0.8502096199126363,0.2,0.00011787940052598487,0.004,0.00011438298215974416,0.012,0.7500000000001273,0.6,4.0,120.0
0.06,0.88,True,True,True,True,True,True,True,True,pass,100,100,97646.07418168552,25600.0,0.8305671008041077,0.2,0.00012911416802437062,0.004,0.00010835523429544711,0.012,0.7500000000004045,0.6,4.0,120.0
0.06,0.89,True,True,True,True,True,True,True,True,pass,100,100,97755.62406044282,25600.0,0.8126650790971806,0.2,0.00012454353244376965,0.004,0.00011124405971335386,0.012,0.7500000000004611,0.6,4.0,120.0
0.06,0.9,True,True,True,True,True,True,True,True,pass,100,100,97657.89691536469,25600.0,0.8607786857937757,0.2,0.00011429239685356925,0.004,0.00011386392608950932,0.012,0.7500000000005437,0.6,4.0,120.0
0.06,0.91,True,True,True,True,True,True,True,True,pass,100,100,97999.97472628974,25600.0,0.834534256321971,0.2,0.00017672162899702248,0.004,0.00011160526978399083,0.012,0.7500000000001953,0.6,4.0,120.0
0.06,0.92,True,True,True,True,True,True,True,True,pass,100,100,97542.89199780812,25600.0,0.8027635848897343,0.2,0.00014384327409946505,0.004,0.00011571793991752396,0.012,0.7500000000013783,0.6,4.0,120.0
