run,cell_id,dataset_id,seed,beta,dataset_path,n_points,input_dim,label_mean,label_abs_mean,knn_k,knn_edge_count,knn_edge_agreement,knn_edge_disagreement,knn_label_autocorrelation,feature_label_linear_signal
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,61,6101234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_061_seed_6101234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2937.0,0.5280898876404494,0.4719101123595506,0.056179775280898875,0.06350520599867686
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,62,6201234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_062_seed_6201234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2961.0,0.5332657885849376,0.46673421141506244,0.06653157716987504,0.04694728303413655
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,63,6301234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_063_seed_6301234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2961.0,0.5292131036811888,0.4707868963188112,0.05842620736237757,0.10453077277948115
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,64,6401234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_064_seed_6401234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2933.0,0.5427889532901466,0.45721104670985335,0.08557790658029321,0.032496438887205215
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,65,6501234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_065_seed_6501234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2952.0,0.5271002710027101,0.47289972899728994,0.05420054200542006,0.06392738958774846
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,66,6601234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_066_seed_6601234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2932.0,0.5194406548431105,0.4805593451568895,0.038881309686221006,0.023305949108287354
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,67,6701234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_067_seed_6701234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2981.0,0.5270043609527004,0.4729956390472996,0.054008721905400875,0.1002229558276858
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,68,6801234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_068_seed_6801234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2943.0,0.5253143051308189,0.4746856948691811,0.050628610261637785,0.0993683822709478
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,69,6901234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_069_seed_6901234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2976.0,0.5137768817204301,0.4862231182795699,0.027553763440860215,0.07480731147688947
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,70,7001234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_070_seed_7001234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2982.0,0.5134138162307177,0.4865861837692823,0.02682763246143528,0.08409696736507412
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,71,7101234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_071_seed_7101234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2919.0,0.5196985268927715,0.4803014731072285,0.03939705378554299,0.09226199088922246
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,72,7201234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_072_seed_7201234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2984.0,0.514745308310992,0.48525469168900803,0.029490616621983913,0.08643178264423469
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,73,7301234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_073_seed_7301234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2993.0,0.5289007684597394,0.47109923154026057,0.057801536919478785,0.09089029946925213
