cell_id,series,dataset_id,seed,beta_ising,rewire_p,C,sigma_med,n_edges
cell_beta_0p13_p_0p00,beta,0,9234,0.13,0.0,0.3595556681854367,0.11139361930530399,2138
cell_beta_0p13_p_0p00,beta,1,109234,0.13,0.0,0.3290035975253539,0.11393325709619262,2190
cell_beta_0p13_p_0p00,beta,2,209234,0.13,0.0,0.3665209296281743,0.11436785374545869,2162
cell_beta_0p13_p_0p00,beta,3,309234,0.13,0.0,0.3483784048223458,0.11505658116034982,2178
cell_beta_0p13_p_0p00,beta,4,409234,0.13,0.0,0.2963404306201797,0.11467303310514515,2180
cell_beta_0p13_p_0p00,beta,5,509234,0.13,0.0,0.3674353828857322,0.11758546274718684,2203
cell_beta_0p13_p_0p00,beta,6,609234,0.13,0.0,0.3603202337964778,0.1150085952493732,2155
cell_beta_0p13_p_0p00,beta,7,709234,0.13,0.0,0.3339047277694742,0.11963606085970667,2212
cell_beta_0p13_p_0p00,beta,8,809234,0.13,0.0,0.3631283351079514,0.11337880979467704,2169
cell_beta_0p13_p_0p00,beta,9,909234,0.13,0.0,0.35442033939814677,0.11394422998459558,2155
cell_beta_0p13_p_0p00,beta,10,1009234,0.13,0.0,0.3076355920037117,0.11304457641489517,2173
cell_beta_0p13_p_0p00,beta,11,1109234,0.13,0.0,0.34660699458301614,0.1156459906956615,2146
cell_beta_0p13_p_0p00,beta,12,1209234,0.13,0.0,0.37581407639465736,0.11623321201049722,2177
cell_beta_0p13_p_0p00,beta,13,1309234,0.13,0.0,0.3427453061207906,0.11893075191925832,2215
cell_beta_0p13_p_0p00,beta,14,1409234,0.13,0.0,0.34563638119425266,0.11392317921568747,2143
cell_beta_0p13_p_0p00,beta,15,1509234,0.13,0.0,0.32279740605469576,0.11715666879502024,2190
