beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.1,0.07,100,-0.35637734715594127,0.00015744945707832738,-0.35637734715594127,0.00015744945707832735,2.710505431213761e-20,-0.3565347966130196,pass
0.1,0.08,100,-0.22294822193551592,0.00010765018367849784,-0.22294822193551592,0.00010765018367849784,0.0,-0.22305587211919442,pass
0.1,0.09,100,-0.10526427471483538,5.484191915690666e-05,-0.10526427471483538,5.4841919156906626e-05,3.3881317890172014e-20,-0.10531911663399228,pass
0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.14,0.01,100,-2.301477993733158,0.00020235069782508717,-2.301477993733158,0.00020235069782508717,0.0,-2.3016803444309835,pass
0.14,0.02,100,-1.6086082040995848,0.00019731622746885759,-1.6086082040995848,0.00019731622746885759,0.0,-1.6088055203270537,pass
0.14,0.03,100,-1.2033127536875152,0.0001869768449724721,-1.2033127536875152,0.0001869768449724721,0.0,-1.2034997305324877,pass
0.14,0.04,100,-0.9157595254596991,0.00017117076342485074,-0.9157595254596991,0.00017117076342485074,0.0,-0.915930696223124,pass
0.14,0.05,100,-0.6927241564735657,0.00015066763036388425,-0.6927241564735657,0.00015066763036388425,0.0,-0.6928748241039295,pass
0.14,0.06,100,-0.5104990285998373,0.00012587782872075732,-0.5104990285998373,0.00012587782872075732,0.0,-0.5106249064285581,pass
0.14,0.07,100,-0.3564370359139184,9.776069910121794e-05,-0.3564370359139184,9.776069910121793e-05,1.3552527156068805e-20,-0.3565347966130196,pass
0.14,0.08,100,-0.22298878318759366,6.708893160075061e-05,-0.22298878318759366,6.708893160075062e-05,-1.3552527156068805e-20,-0.22305587211919442,pass
0.14,0.09,100,-0.10528475822770476,3.435840628751658e-05,-0.10528475822770476,3.435840628751659e-05,-6.776263578034403e-21,-0.10531911663399228,pass
0.14,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.18,0.01,100,-2.3015747898545293,0.0001055545764540001,-2.3015747898545293,0.00010555457645400012,-2.710505431213761e-20,-2.3016803444309835,pass
0.18,0.02,100,-1.6087029080893716,0.00010261223768221515,-1.6087029080893716,0.00010261223768221515,0.0,-1.6088055203270537,pass
0.18,0.03,100,-1.2034026013610433,9.712917144437969e-05,-1.2034026013610433,9.712917144437969e-05,0.0,-1.2034997305324877,pass
0.18,0.04,100,-0.9158417409716795,8.89552514444798e-05,-0.9158417409716795,8.895525144447984e-05,-4.0657581468206416e-20,-0.915930696223124,pass
