eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem
0.15,0.87,30,-0.1294543664610442,0.0027710446122536985,0.0005059212139948364
0.15,0.88,30,-0.13005822184536198,0.002566224269558837,0.00046852630668486384
0.15,0.89,30,-0.130997327179896,0.00219947829097561,0.00040156795823675045
0.15,0.9,30,-0.13088125877975496,0.002465753987356353,0.00045018302671112777
0.15,0.91,30,-0.131209289046603,0.0026626897437127084,0.00048613841208969944
0.15,0.92,30,-0.13064165079980647,0.0031062459980319107,0.0005671203340940757
0.15,0.93,30,-0.13112610959876417,0.0028942288453731404,0.000528411475064333
0.15,0.94,30,-0.13198306420802397,0.003352423906401971,0.0006120660652853154
0.15,0.95,30,-0.13190516837425267,0.003303483193586932,0.0006031307544889227
0.15,0.96,30,-0.13179110752470405,0.002833833346751974,0.0005173848160754713
0.15,0.97,30,-0.13238005376040643,0.0028517313468941433,0.0005206525288795024
0.15,0.98,30,-0.13397888953183798,0.00246643970819199,0.00045030822163440393
0.15,0.99,30,-0.13241577472193328,0.003000373434172433,0.0005477907369451612
0.15,1.0,30,-0.13435514659617045,0.0036590237829551334,0.0006680432881241378
0.25,0.01,30,-0.0009128927513623767,0.0007244179095823644,0.00013226001004633294
0.25,0.02,30,-0.00115770453670604,0.0007813893588144896,0.00014266152600573138
0.25,0.03,30,-0.0017164888011603565,0.000864760312132732,0.0001578829099301019
0.25,0.04,30,-0.0027390201854086433,0.0009754381756562273,0.00017808983075286744
0.25,0.05,30,-0.004282412365211157,0.0011128272838060902,0.000203173535315933
0.25,0.06,30,-0.006347467857754223,0.0013180202058642614,0.00024063646599981956
0.25,0.07,30,-0.008965638515829464,0.001539471616274765,0.00028106777695754195
0.25,0.08,30,-0.011977766981187854,0.0017618852279408979,0.00032167476102612036
0.25,0.09,30,-0.01536611349697704,0.0020821378803401298,0.00038014462829942715
0.25,0.1,30,-0.01959746283038196,0.0024513205927645,0.00044754786144468394
0.25,0.11,30,-0.023553395215997124,0.002703226144306194,0.0004935393124247392
0.25,0.12,30,-0.02866086027525538,0.003943833841864633,0.0007200422527471738
0.25,0.13,30,-0.033567458199878726,0.0040060373923342385,0.0007313990153302119
0.25,0.14,30,-0.039314449225713276,0.004048192004344642,0.0007390953592972042
0.25,0.15,30,-0.043831298249114206,0.004204447867838195,0.000767623646356493
0.25,0.16,30,-0.04937241658267407,0.004830387380854519,0.0008819040433274395
0.25,0.17,30,-0.05659174733521066,0.004888857711254999,0.0008925792162958137
0.25,0.18,30,-0.06188727538084447,0.00568411767219946,0.0010377731561924662
0.25,0.19,30,-0.06642072525217352,0.0073745561858104425,0.001346403591519213
0.25,0.2,30,-0.07321601818453116,0.007307053812140235,0.0013340794006044402
0.25,0.21,30,-0.07809560726196932,0.00689793337443494,0.0012593845697819151
0.25,0.22,30,-0.08385753156314624,0.007158607020702683,0.0013069768485179031
0.25,0.23,30,-0.08872450131311041,0.008304192137643558,0.0015161311185481405
0.25,0.24,30,-0.09345323389331944,0.008528884156237248,0.0015571540809065187
0.25,0.25,30,-0.09789354828716872,0.008444104587002683,0.0015416755200780715
0.25,0.26,30,-0.10266425560778766,0.007756822347373329,0.0014161955247388484
0.25,0.27,30,-0.10715306399463857,0.007473719281662129,0.0013645082130092176
0.25,0.28,30,-0.11111603287600731,0.008244558760510083,0.0015052436032694009
0.25,0.29,30,-0.11440754083066544,0.009073291487278631,0.001656548806134035
0.25,0.3,30,-0.11848644871599924,0.007779883576644817,0.0014204059098974465
0.25,0.31,30,-0.11933450268642257,0.007413809976483321,0.0013535703203922532
0.25,0.32,30,-0.12373946638689717,0.006886933662663042,0.001257376306360741
0.25,0.33,30,-0.1258359714133894,0.005995439976318197,0.001094612572399239
0.25,0.34,30,-0.12795584205185187,0.007164685634038217,0.0013080866463986453
0.25,0.35,30,-0.12936528905407169,0.007403699280122053,0.001351724368235869
0.25,0.36,30,-0.13137796698293436,0.006829393917025562,0.0012468710341478214
0.25,0.37,30,-0.13279439469275542,0.006429788404680847,0.001173913383076285
0.25,0.38,30,-0.13312351738863748,0.006685592330825363,0.0012206165766255308
0.25,0.39,30,-0.13464071139674397,0.005621588453937729,0.0010263569350774276
0.25,0.4,30,-0.13453949956913788,0.00666233496358676,0.0012163703817372755
0.25,0.41,30,-0.1362969262005203,0.006140570512483125,0.0011211096618793542
0.25,0.42,30,-0.13518727161088157,0.005868271505596247,0.0010713948923932893
0.25,0.43,30,-0.1367049306027677,0.004470859929742569,0.000816263611655321
0.25,0.44,30,-0.13903391881668323,0.005528445882259667,0.0010093515058867241
0.25,0.45,30,-0.13914960745785435,0.005068583638105365,0.0009253925310639696
0.25,0.46,30,-0.13732523380926503,0.005002152523487728,0.0009132639243985402
0.25,0.47,30,-0.1390409878889282,0.005235109535054625,0.0009557958611199339
