eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem,d_phi_energy_raw_dd,d_delta_phi_energy_dd
0.25,eta_0p25,0.6,90,-0.14299114010543817,0.004141625236281691,0.000436565632049439,-0.12312068714076561,0.005311192483423371,0.0005598488446394646,0.5419794276819732,0.8214603413851204,0.012426833253776718,0.5708051774204128,0.28476467017150764,30.943755255805122,-0.02346979365490026,0.03473095297680344,0.003660963890496799,-0.02346979365490027,0.034730952976803446,0.0036609638904968,-0.023469793654900428,-0.023469793654900206
0.25,eta_0p25,0.65,90,-0.14373063581083156,0.003288268052124767,0.0003466138867293181,-0.123860182846159,0.004622041279351285,0.000487205929402288,0.5648327079636755,0.7966273587813649,0.01037060524394927,0.5797200120255858,0.2932772864734987,30.819153123431736,-0.01730188956062551,0.036625394866624174,0.0038606555993857088,-0.017301889560625453,0.03662539486662417,0.0038606555993857075,-0.017301889560625394,-0.017301889560625394
0.25,eta_0p25,0.7,90,-0.1447213290615007,0.0033517789182476655,0.0003533085198332643,-0.12485087609682814,0.004528639782822991,0.00047736054720569766,0.5672506062624856,0.8082583744547978,0.012310856699917685,0.5899567599462923,0.3019238399725118,30.03573893176185,-0.019702040083524972,0.03205116496887464,0.003378489432114787,-0.01970204008352502,0.03205116496887463,0.003378489432114787,-0.019702040083525274,-0.019702040083525052
0.25,eta_0p25,0.75,90,-0.1457008398191841,0.002909668675481021,0.000306706008365512,-0.12583038685451153,0.004353814802344639,0.0004589323761988288,0.5943273668605187,0.8172689319887938,0.009947859190332805,0.5965505236469892,0.3078456000987679,29.83127500216166,-0.018697055315913577,0.03587438310570238,0.003781492008916152,-0.018697055315913563,0.03587438310570239,0.0037814920089161534,-0.01869705531591359,-0.01869705531591359
0.25,eta_0p25,0.8,90,-0.14659103459309206,0.002931065854590806,0.00030896146908182824,-0.1267205816284195,0.0043996209296863304,0.0004637607659718772,0.5521634366050775,0.8208591320483879,0.01266223366224273,0.6032723497219592,0.31460336637569997,29.731313599480522,-0.01835567033957318,0.030517948043463368,0.0032168741777341176,-0.018355670339573124,0.030517948043463354,0.0032168741777341163,-0.01835567033957286,-0.018355670339573305
0.25,eta_0p25,0.85,90,-0.14753640685314137,0.0028459225372805593,0.0002999865754070676,-0.12766595388846882,0.004284600118060666,0.00045163650786993436,0.5647475377438086,0.8041475088388269,0.010522614691305233,0.6091711237976587,0.3187723539422386,29.774576920933193,-0.019896198202959195,0.03281294477798413,0.0034587880745252635,-0.019896198202959178,0.032812944777984104,0.0034587880745252605,-0.019896198202959292,-0.019896198202959292
0.25,eta_0p25,0.9,90,-0.148580654413388,0.002846723217100808,0.0003000709744706852,-0.12871020144871545,0.004133111716866353,0.00043566822830755494,0.57713850168942,0.7998272415106137,0.01162188297469244,0.6155688543007142,0.3239346462939823,29.730914510620966,-0.013692803510618972,0.033335219713782255,0.0035138406865899393,-0.013692803510618903,0.033335219713782234,0.003513840686589937,-0.013692803510618745,-0.013692803510618967
0.25,eta_0p25,0.95,90,-0.14890568720420325,0.0026080797078081273,0.0002749157398646705,-0.1290352342395307,0.00381981803324479,0.00040264417441461054,0.5690137574478636,0.8127271222578869,0.009617281625764086,0.619521021310636,0.32956780426652393,29.45898495250278,-0.00943675110857459,0.0314198768015362,0.0033119458164913543,-0.009436751108574589,0.03141987680153617,0.0033119458164913513,-0.00943675110857467,-0.009436751108574448
0.25,eta_0p25,1.0,90,-0.1495243295242455,0.002389768545674019,0.00025190372283193416,-0.12965387655957292,0.0036324256510970178,0.00038289128295622334,0.5164185137756856,0.7926870957463038,0.01017863331894817,0.623067293002687,0.33252788708234626,29.804939217037624,-0.012372846400844555,0.06534017897851642,0.006887459609838869,-0.012372846400844538,0.06534017897851638,0.006887459609838863,-0.012372846400844895,-0.01237284640084434
0.3,eta_0p30,0.1,90,-0.021406581941371444,0.002825373533957564,0.000297820520268833,0.0,0.0,0.0,0.5435701664955144,0.8177272040649557,0.00378418000966426,0.059435528764073965,0.020768769695001424,16.38457293510437,-0.5154568516061172,0.06670201137056261,0.007031009348180914,-0.5154568516061171,0.06670201137056261,0.007031009348180914,-0.5154568516061172,-0.5154568516061172
