run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
30 dataset,0.31,0.19,30,-0.0008386659791784558,6.871514189113343e-05,0.00014053824505910073,final_proxy_summary
30 dataset,0.31,0.2,30,-0.000857195067632639,6.993160175469888e-05,0.0001430261848305295,final_proxy_summary
30 dataset,0.31,0.21,30,-0.0008750668431129931,7.078059926939082e-05,0.00014476257971367444,final_proxy_summary
30 dataset,0.31,0.22,30,-0.000890891982235059,7.148941542263328e-05,0.00014621227152110841,final_proxy_summary
30 dataset,0.31,0.23,30,-0.0009071832934707546,7.219467394400715e-05,0.0001476546871543889,final_proxy_summary
30 dataset,0.31,0.24,30,-0.0009240662854945835,7.278173900787377e-05,0.00014885537002486945,final_proxy_summary
30 dataset,0.31,0.25,30,-0.0009384582797761432,7.303049262383605e-05,0.0001493641282938232,final_proxy_summary
30 dataset,0.31,0.26,30,-0.0009527267966567814,7.34544421161386e-05,0.0001502312023622475,final_proxy_summary
30 dataset,0.31,0.27,30,-0.0009671553698555124,7.391603618007126e-05,0.00015117526822443507,final_proxy_summary
30 dataset,0.31,0.28,30,-0.0009819526106392828,7.464247271509425e-05,0.00015266099775899225,final_proxy_summary
30 dataset,0.31,0.29,30,-0.0009951793153343195,7.431109563323674e-05,0.00015198325552845385,final_proxy_summary
30 dataset,0.31,0.3,30,-0.0010098852330856227,7.46039419366881e-05,0.00015258219346886155,final_proxy_summary
30 dataset,0.33,0.01,30,-3.994730004919137e-05,6.439751492365398e-06,1.3170770640154022e-05,final_proxy_summary
30 dataset,0.33,0.02,30,-0.00010017819113653523,1.5294148720393337e-05,3.1280046314134404e-05,final_proxy_summary
30 dataset,0.33,0.03,30,-0.00016400611027474874,2.174820395734134e-05,4.4480071396702265e-05,final_proxy_summary
30 dataset,0.33,0.04,30,-0.00022625163394184562,2.6018731220658578e-05,5.321428034317453e-05,final_proxy_summary
30 dataset,0.33,0.05,30,-0.0002852253150866193,2.934846975294388e-05,6.002436028995587e-05,final_proxy_summary
30 dataset,0.33,0.06,30,-0.0003384146649689027,3.1887462447040054e-05,6.521718340907974e-05,final_proxy_summary
30 dataset,0.33,0.07,30,-0.0003869167934606426,3.430068025741203e-05,7.015276800777508e-05,final_proxy_summary
30 dataset,0.33,0.08,30,-0.00043001016013944634,3.6637784105416306e-05,7.493268207445583e-05,final_proxy_summary
30 dataset,0.33,0.09,30,-0.0004692270764013557,3.899645935451819e-05,7.975671461008374e-05,final_proxy_summary
30 dataset,0.33,0.1,30,-0.0005058482221109888,4.164284276832519e-05,8.516917641245014e-05,final_proxy_summary
30 dataset,0.33,0.11,30,-0.0005383917085725246,4.429561268666181e-05,9.059470008319016e-05,final_proxy_summary
