eta,ref_id,radius,phi_energy_raw
0.05,5,0.88,-0.0943570177456608
0.05,5,0.89,-0.0945748742139958
0.05,5,0.9,-0.095732007268335
0.05,5,0.91,-0.0918976020884173
0.05,5,0.92,-0.0960139713024617
0.05,5,0.93,-0.1012728685060786
0.05,5,0.94,-0.0997009532519768
0.05,5,0.95,-0.0935075114631448
0.05,5,0.96,-0.0950189886190155
0.05,5,0.97,-0.0964789790721143
0.05,5,0.98,-0.0959398411412135
0.05,5,0.99,-0.0982698285640312
0.05,5,1.0,-0.1000053477814199
0.05,6,0.01,-0.0001971969458593
0.05,6,0.02,-0.0002243098249072
0.05,6,0.03,-0.0002891037961355
0.05,6,0.04,-0.0004267205839351
0.05,6,0.05,-0.0006927092923577
0.05,6,0.06,-0.0011191736705453
0.05,6,0.07,-0.001748952761059
0.05,6,0.08,-0.0025844612568537
0.05,6,0.09,-0.0035124000492287
0.05,6,0.1,-0.0045601730551335
0.05,6,0.11,-0.005839156644722
