pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_0_2,0/2,2461,0.6,0.0001396793883505,0.000139679
pair_0_2,0/2,2461,0.6,6.441463680438235e-05,-6.44146e-05
pair_0_2,0/2,2461,0.6,0.0001704012049471,-0.000170401
pair_0_2,0/2,2461,0.6,0.0012270747351177,-0.00122707
pair_0_2,0/2,2461,0.6,0.0014786921889058,-0.00147869
pair_0_2,0/2,2461,0.6,0.0010674159882343,-0.00106742
pair_0_2,0/2,2461,0.6,0.0005722490053358,-0.000572249
pair_0_2,0/2,2461,0.6,0.0004636776601309,0.000463678
pair_0_2,0/2,2461,0.6,0.0002285167431565,0.000228517
pair_0_2,0/2,2461,0.6,0.0001046783594557,0.000104678
pair_0_2,0/2,2461,0.6,0.0004902091707173,0.000490209
pair_0_2,0/2,2461,0.6,0.000956913240482,-0.000956913
pair_0_2,0/2,2461,0.6,0.0007278243482966,-0.000727824
pair_0_2,0/2,2461,0.6,0.0002049782201489,0.000204978
pair_0_2,0/2,2461,0.6,0.0004530706311892,-0.000453071
pair_0_2,0/2,2461,0.6,0.0005290500561378,-0.00052905
pair_0_2,0/2,2461,0.6,0.0022740931560035,-0.00227409
pair_0_2,0/2,2461,0.6,0.0015447033571277,-0.0015447
pair_0_2,0/2,2461,0.6,0.0012425081661432,-0.00124251
pair_0_2,0/2,2461,0.6,0.0019691035569573,-0.0019691
pair_0_2,0/2,2461,0.6,0.001107539071557,0.00110754
pair_0_2,0/2,2461,0.6,0.0015028460525987,-0.00150285
pair_0_2,0/2,2461,0.6,6.347465859864492e-05,-6.34747e-05
pair_0_2,0/2,2461,0.6,0.0002779748055769,-0.000277975
pair_0_2,0/2,2461,0.6,0.0002263377693482,0.000226338
pair_0_2,0/2,2461,0.6,0.0003089471647127,0.000308947
pair_0_2,0/2,2461,0.6,0.0017599752660162,-0.00175998
pair_0_2,0/2,2461,0.6,0.0008346088949853,0.000834609
pair_0_2,0/2,2461,0.6,0.0004571564552564,0.000457156
pair_0_2,0/2,2461,0.6,0.0008417396706963,-0.00084174
pair_0_2,0/2,2461,0.65,0.0002151457733455,0.000215146
pair_0_2,0/2,2461,0.65,0.0006922147340142,-0.000692215
pair_0_2,0/2,2461,0.65,0.0015956859814232,0.00159569
pair_0_2,0/2,2461,0.65,0.001880423680497,0.00188042
pair_0_2,0/2,2461,0.65,0.0009456582625991,0.000945658
pair_0_2,0/2,2461,0.65,0.0007318098337416,-0.00073181
pair_0_2,0/2,2461,0.65,0.0012059392955463,-0.00120594
pair_0_2,0/2,2461,0.65,0.0003105577494923,-0.000310558
pair_0_2,0/2,2461,0.65,0.0016188134022386,-0.00161881
pair_0_2,0/2,2461,0.65,0.0019110871805339,-0.00191109
pair_0_2,0/2,2461,0.65,0.0007744446700945,0.000774445
pair_0_2,0/2,2461,0.65,0.0004250650082204,0.000425065
pair_0_2,0/2,2461,0.65,0.0034898488975563,-0.00348985
pair_0_2,0/2,2461,0.65,0.0022154795248433,0.00221548
pair_0_2,0/2,2461,0.65,0.0016778674857704,0.00167787
pair_0_2,0/2,2461,0.65,0.0016495896881352,0.00164959
pair_0_2,0/2,2461,0.65,0.0014078826628176,0.00140788
pair_0_2,0/2,2461,0.65,0.0013753294218306,-0.00137533
pair_0_2,0/2,2461,0.65,0.0009319593330431,-0.000931959
pair_0_2,0/2,2461,0.65,0.0001982552458622,-0.000198255
pair_0_2,0/2,2461,0.65,0.0014466692822542,0.00144667
pair_0_2,0/2,2461,0.65,0.0010684537622702,0.00106845
pair_0_2,0/2,2461,0.65,0.0018517475500093,0.00185175
pair_0_2,0/2,2461,0.65,0.0020801804948727,-0.00208018
pair_0_2,0/2,2461,0.65,0.0011245593564279,-0.00112456
pair_0_2,0/2,2461,0.65,0.0021504591497061,-0.00215046
pair_0_2,0/2,2461,0.65,0.0012662558292037,-0.00126626
pair_0_2,0/2,2461,0.65,0.0010518080359147,-0.00105181
pair_0_2,0/2,2461,0.65,0.0002654884589522,-0.000265488
pair_0_2,0/2,2461,0.65,0.0002267310366183,0.000226731
pair_0_2,0/2,2461,0.7,1.5088036958803688e-05,-1.5088e-05
pair_0_2,0/2,2461,0.7,0.0014829818657063,0.00148298
