rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,ref_count,smc_completed_count,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,split_logZ_per_P_diff_mean,threshold_max_split_logZ_per_P_diff,qc_claim
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.11,r_0p1100,30,30,0.00028011767082979495,0.000346197095604,0.008543388829258139,0.0131233465366849,0.613048575584968,0.9500000000008144,0.0001309727848246977,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.12,r_0p1200,30,30,0.0005148556404303046,0.0006223102184002,0.011285933994937379,0.028597454035304,0.5774897746217933,0.9500000000003582,0.00023023665793221032,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.13,r_0p1300,30,30,0.0005603391074666698,0.0007102950615706,0.016952189039512837,0.0177230885216126,0.6636816572303254,0.9500000000003922,0.00025414424953871254,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.14,r_0p1400,30,30,0.0009071692671829149,0.0010938532948682,0.014542732967979897,0.0183650900152535,0.6016016343446402,0.9500000000005814,0.0003340482928150356,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.15,r_0p1500,30,30,0.0007810587536768247,0.0011666462784697,0.010208715009621906,0.0110157832904571,0.5826927525174984,0.9500000000002213,0.00039394093970962957,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.16,r_0p1600,30,30,0.0008824644291036549,0.0014407221105241,0.01294824932828183,0.0179836775485652,0.6679310547215673,0.9500000000000772,0.0003955383781874062,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.17,r_0p1700,30,30,0.0011229685562909248,0.0016206514006516,0.011053297440488568,0.0147276837609116,0.6867250592067004,0.9500000000004788,0.0004958467823224148,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.18,r_0p1800,30,30,0.0010217144635077842,0.0015177958370517,0.016441863978657226,0.0204359001791387,0.601178935128705,0.950000000000631,0.00046259868807889577,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.19,r_0p1900,30,30,0.001193368889576065,0.0012441175159629,0.012369658688812095,0.0169272356135871,0.601828856509291,0.9500000000002304,0.0005938004590905811,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.2,r_0p2000,30,30,0.0014234895335423247,0.0015775162342631,0.016122650221520974,0.0195561163433648,0.6004776831488866,0.9500000000004807,0.0005892115918153797,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.21,r_0p2100,30,30,0.0022524601079854686,0.0026146233343284,0.017689782000200653,0.0222752671623712,0.626178288743071,0.9500000000001845,0.0007307467755416548,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.22,r_0p2200,30,30,0.0015722536999813448,0.0017601186571924,0.017190799907698867,0.0216753164785807,0.6501666174560172,0.9500000000000727,0.0006956610726367399,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.23,r_0p2300,30,30,0.00203989878376416,0.002443733277479,0.016696224368261976,0.0184754796429405,0.5879151846194237,0.9500000000005592,0.00100074997072489,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.24,r_0p2400,30,30,0.002043407537208715,0.0020771115966832,0.018060849030160336,0.0210316388809734,0.5358511169384174,0.9500000000002174,0.0008188034560353852,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.25,r_0p2500,30,30,0.0015510039748591797,0.0021962817927068,0.015088914791505547,0.0203702598408009,0.6990610415324154,0.9500000000003259,0.0007059622988994549,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.26,r_0p2600,30,30,0.002663328347867135,0.0029193928150321,0.018861849435685956,0.0318920994521617,0.5942287286968969,0.9500000000004923,0.0011902685965432009,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.27,r_0p2700,30,30,0.0030449730423273585,0.0041945433492205,0.016190293521892662,0.022151320635368,0.6273881694138334,0.9500000000000715,0.001088885094696134,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.28,r_0p2800,30,30,0.003438874870608479,0.0036250413223088,0.023728362618179608,0.0248052110807695,0.6717136538524031,0.9500000000001968,0.001143780950296298,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.29,r_0p2900,30,30,0.002680906495942358,0.0034914098800225,0.01714610129779127,0.0245158808848332,0.6378884067799252,0.9500000000002703,0.0010677757994403546,0.004,pass
