beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.06,0.95,100,2.2468942239949685,-0.0035129805845688124,2.2468942239949685,-0.003512980584568813,4.336808689942018e-19,2.2504072045795374,pass
0.06,0.96,100,2.2573343480307497,-0.0035400419564102716,2.2573343480307497,-0.0035400419564102716,0.0,2.26087438998716,pass
0.06,0.97,100,2.2676725447325863,-0.0035605604681021746,2.2676725447325863,-0.0035605604681021746,0.0,2.2712331052006887,pass
0.06,0.98,100,2.2778982548931443,-0.0035873204157285655,2.2778982548931443,-0.0035873204157285655,0.0,2.281485575308873,pass
0.06,0.99,100,2.2880287766487224,-0.0036051809801746783,2.2880287766487224,-0.0036051809801746783,0.0,2.291633957628897,pass
0.06,1.0,100,2.2980498326677092,-0.0036305117632742896,2.2980498326677092,-0.0036305117632742896,0.0,2.3016803444309835,pass
0.06,1.01,100,2.307980322592338,-0.0036464429350930097,2.307980322592338,-0.0036464429350930097,0.0,2.3116267655274307,pass
0.06,1.02,100,2.317799711232987,-0.003675479501132032,2.317799711232987,-0.003675479501132032,0.0,2.321475190734119,pass
0.06,1.03,100,2.3275357722174106,-0.0036917599945111854,2.3275357722174106,-0.0036917599945111854,0.0,2.331227532211922,pass
0.06,1.04,100,2.3371718489050055,-0.003713797790004297,2.3371718489050055,-0.003713797790004297,0.0,2.3408856466950096,pass
0.06,1.05,100,2.3467175573425325,-0.0037337802699966326,2.3467175573425325,-0.0037337802699966335,8.673617379884035e-19,2.350451337612529,pass
0.06,1.06,100,2.3561658566643584,-0.0037605004453649437,2.3561658566643584,-0.0037605004453649437,0.0,2.3599263571097233,pass
0.06,1.07,100,2.36553365175232,-0.00377875622183928,2.36553365175232,-0.0037787562218392808,8.673617379884035e-19,2.3693124079741597,pass
0.06,1.08,100,2.374809505013527,-0.003801640458835561,2.374809505013527,-0.003801640458835561,0.0,2.3786111454723624,pass
0.06,1.09,100,2.3839990735489502,-0.0038251055528531475,2.3839990735489502,-0.0038251055528531475,0.0,2.3878241791018033,pass
0.06,1.1,100,2.3931036599224704,-0.0038494143404193396,2.3931036599224704,-0.0038494143404193396,0.0,2.39695307426289,pass
0.06,1.11,100,2.4021354318708292,-0.0038639219844656247,2.4021354318708292,-0.0038639219844656247,0.0,2.405999353855295,pass
0.06,1.12,100,2.4110857529577476,-0.0038787468449515104,2.4110857529577476,-0.0038787468449515104,0.0,2.414964499802699,pass
0.06,1.13,100,2.419944049644761,-0.0039059048650004744,2.419944049644761,-0.0039059048650004744,0.0,2.423849954509761,pass
0.06,1.14,100,2.428731979916259,-0.0039251423386500285,2.428731979916259,-0.0039251423386500285,0.0,2.432657122254909,pass
0.06,1.15,100,2.437443971286848,-0.003943399235452559,2.437443971286848,-0.003943399235452559,0.0,2.4413873705223006,pass
0.06,1.16,100,2.4460785414683017,-0.003963489807823254,2.4460785414683017,-0.003963489807823254,0.0,2.450042031276125,pass
0.06,1.17,100,2.454638613472206,-0.0039837887080060325,2.454638613472206,-0.0039837887080060325,0.0,2.458622402180212,pass
0.06,1.18,100,2.463128221462741,-0.004001526302995596,2.463128221462741,-0.004001526302995596,0.0,2.4671297477657363,pass
0.06,1.19,100,2.471540757248315,-0.00402454330134273,2.471540757248315,-0.00402454330134273,0.0,2.4755653005496576,pass
0.06,1.2,100,2.4798897514677014,-0.004040510638653208,2.4798897514677014,-0.004040510638653208,0.0,2.483930262106355,pass
0.06,1.21,100,2.4881644521748294,-0.004061351919967179,2.4881644521748294,-0.004061351919967179,0.0,2.4922258040947964,pass
0.06,1.22,100,2.4963761281769297,-0.004076941066508939,2.4963761281769297,-0.004076941066508939,0.0,2.500453069243439,pass
0.06,1.23,100,2.5045208090846147,-0.004092363210307769,2.5045208090846147,-0.004092363210307769,0.0,2.5086131722949223,pass
0.06,1.24,100,2.512587538439039,-0.0041196624734801705,2.512587538439039,-0.0041196624734801705,0.0,2.5167072009125193,pass
0.06,1.25,100,2.520600615114907,-0.0041356014352706225,2.520600615114907,-0.0041356014352706225,0.0,2.5247362165501777,pass
0.06,1.26,100,2.5285470726000696,-0.0041541826878308845,2.5285470726000696,-0.0041541826878308845,0.0,2.5327012552879005,pass
0.06,1.27,100,2.536427614529409,-0.0041757141046988655,2.536427614529409,-0.0041757141046988655,0.0,2.540603328634108,pass
0.06,1.28,100,2.544249713652902,-0.004193710643621919,2.544249713652902,-0.004193710643621919,0.0,2.548443424296524,pass
