q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.99,0.18,0.8,4.0,4.0,1.0,0,
0.5,0.18,0.9,2.0,2.0,0.6210937500000001,0,
0.9,0.18,0.9,4.0,4.0,1.0,0,
0.99,0.18,0.9,4.0,4.0,1.0,0,
0.5,0.18,1.0,2.0,2.0,0.5488281249999999,0,
0.9,0.18,1.0,4.0,4.0,1.0,0,
0.99,0.18,1.0,4.0,4.0,1.0,0,
0.5,0.18,1.1,2.0,2.0,0.5244140625000001,0,
0.9,0.18,1.1,4.0,4.0,1.0,0,
0.99,0.18,1.1,4.0,4.0,1.0,0,
0.5,0.18,1.2,4.0,4.0,1.0,0,
0.9,0.18,1.2,4.0,4.0,1.0,0,
0.99,0.18,1.2,4.0,4.0,1.0,0,
0.5,0.18,1.3,4.0,4.0,0.9993846819983594,0,
0.9,0.18,1.3,4.0,4.0,0.9993846819983594,0,
0.99,0.18,1.3,4.0,4.0,0.9993846819983594,0,
0.5,0.18,1.4,4.0,4.0,0.9970915650179863,0,
0.9,0.18,1.4,4.0,4.0,0.9970915650179863,0,
0.99,0.18,1.4,4.0,4.0,0.9970915650179863,0,
0.5,0.18,1.5,4.0,4.0,0.9979919379984042,0,
0.9,0.18,1.5,4.0,4.0,0.9979919379984042,0,
0.99,0.18,1.5,4.0,4.0,0.9979919379984042,0,
0.5,0.18,1.6,4.0,4.0,0.9975673654520721,0,
0.9,0.18,1.6,4.0,4.0,0.9975673654520721,0,
0.99,0.18,1.6,4.0,4.0,0.9975673654520721,0,
0.5,0.18,1.7,4.0,4.0,0.9939538198647723,0,
0.9,0.18,1.7,4.0,4.0,0.9939538198647723,0,
0.99,0.18,1.7,4.0,4.0,0.9939538198647723,0,
0.5,0.18,1.8,4.0,4.0,0.9922137013011111,0,
0.9,0.18,1.8,4.0,4.0,0.9922137013011111,0,
0.99,0.18,1.8,4.0,4.0,0.9922137013011111,0,
0.5,0.18,1.9,4.0,4.0,0.9871220830233998,0,
0.9,0.18,1.9,4.0,4.0,0.9871220830233998,0,
0.99,0.18,1.9,4.0,4.0,0.995900091779288,0,
0.5,0.18,2.0,4.0,4.0,0.9891115363995181,0,
0.9,0.18,2.0,4.0,4.0,0.9891115363995181,0,
0.99,0.18,2.0,4.0,4.0,0.9916939339291505,0,
0.5,0.18,2.1,4.0,4.0,0.9853515624999996,0,
0.9,0.18,2.1,4.0,4.0,0.9853515624999996,0,
0.99,0.18,2.1,4.0,4.0,0.991377421306385,0,
0.5,0.18,2.2,4.0,4.0,0.9863281249999996,0,
0.9,0.18,2.2,4.0,4.0,0.9863281249999996,0,
0.99,0.18,2.2,4.0,4.0,0.9975403408498383,0,
0.5,0.18,2.3,4.0,4.0,0.9785156249999999,0,
0.9,0.18,2.3,4.0,4.0,0.9785156249999999,0,
0.99,0.18,2.3,4.0,4.0,0.9988421522384501,0,
0.5,0.18,2.4,4.0,4.0,0.9687499999999996,0,
0.9,0.18,2.4,4.0,4.0,0.9687499999999996,0,
0.99,0.18,2.4,4.0,4.0,0.9968852785483518,0,
0.5,0.18,2.5,4.0,4.0,0.9775390624999999,0,
0.9,0.18,2.5,4.0,4.0,0.9775390624999999,0,
0.99,0.18,2.5,4.0,4.0,0.9957948720287066,0,
0.5,0.18,2.6,4.0,4.0,0.9736328124999999,0,
0.9,0.18,2.6,4.0,4.0,0.9736328124999999,0,
0.99,0.18,2.6,4.0,4.0,0.9954508359151422,0,
0.5,0.18,2.7,4.0,4.0,0.9658203125000003,0,
0.9,0.18,2.7,4.0,4.0,0.9658203125000003,0,
0.99,0.18,2.7,4.0,4.0,0.9944071482116889,0,
0.5,0.18,2.8,4.0,4.0,0.9687499999999996,0,
0.9,0.18,2.8,4.0,4.0,0.9687499999999996,0,
0.99,0.18,2.8,4.0,4.0,0.9912109375,0,
0.5,0.18,2.9,4.0,4.0,0.9267578125000002,0,
0.9,0.18,2.9,4.0,4.0,0.9267578125000002,0,
0.99,0.18,2.9,4.0,4.0,0.9921875000000002,0,
0.5,0.18,3.0,4.0,4.0,0.9560546874999999,0,
0.9,0.18,3.0,4.0,4.0,0.9560546874999999,0,
0.99,0.18,3.0,4.0,4.0,0.9902343750000004,0,
0.5,0.22,0.1,1.0,1.0,1.0,0,
0.9,0.22,0.1,1.0,1.0,1.0,0,
0.99,0.22,0.1,1.0,1.0,1.0,0,
0.5,0.22,0.2,1.0,1.0,1.0,0,
0.9,0.22,0.2,1.0,1.0,1.0,0,
0.99,0.22,0.2,1.0,1.0,1.0,0,
0.5,0.22,0.3,1.0,1.0,0.9388193377818177,0,
0.9,0.22,0.3,1.0,1.0,0.9388193377818177,0,
0.99,0.22,0.3,2.0,2.0,1.0,0,
0.5,0.22,0.4,1.0,1.0,0.568725002794328,0,
0.9,0.22,0.4,2.0,2.0,1.0,0,
0.99,0.22,0.4,2.0,2.0,1.0,0,
0.5,0.22,0.5,2.0,2.0,0.9976674818533255,0,
0.9,0.22,0.5,2.0,2.0,0.9976674818533255,0,
0.99,0.22,0.5,2.0,2.0,0.9976674818533255,0,
0.5,0.22,0.6,2.0,2.0,0.9922360608839178,0,
0.9,0.22,0.6,2.0,2.0,0.9922360608839178,0,
0.99,0.22,0.6,2.0,2.0,0.9922360608839178,0,
0.5,0.22,0.7,2.0,2.0,0.9677187866779041,0,
0.9,0.22,0.7,2.0,2.0,0.9677187866779041,0,
0.99,0.22,0.7,2.0,2.0,0.9905084686166072,0,
0.5,0.22,0.8,2.0,2.0,0.9181716552454665,0,
